,Code,Country,City,Latitude,Longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
113,MDA,Moldova,Chisinau,47.005,28.8577,4113000,4098000,4086000,4079000,4076000,4075000,4073000,4071000,4066000,4060000,4052000,4043000
114,MDG,Madagascar,Antananarivo,-18.9166,47.5166,19996000,20569000,21152000,21744000,22347000,22961000,23590000,24234000,24894000,25571000,26262000,26969000
115,MDV,Maldives,Male,4.1667,73.4999,343000,353000,366000,380000,397000,416000,435000,455000,476000,496000,516000,531000
116,MEX,Mexico,Mexico City,19.4424,-99.131,110815000,112464000,114093000,115695000,117274000,118827000,120355000,121858000,123333000,124777000,126191000,127576000
117,MHL,Marshall Islands,Majuro,7.103,171.38,56000,56000,56000,57000,57000,57000,57000,57000,58000,58000,58000,59000
118,MKD,Macedonia,Skopje,42.0,21.4335,2067000,2069000,2071000,2072000,2074000,2076000,2078000,2079000,2081000,2082000,2083000,2083000
119,MLI,Mali,Bamako,12.65,-8.0,14114000,14581000,15049000,15515000,15979000,16450000,16934000,17439000,17965000,18512000,19078000,19658000
120,MLT,Malta,Valletta,35.8997,14.5147,409000,412000,414000,418000,422000,426000,430000,434000,436000,438000,439000,440000
121,MMR,Burma,Nay Pyi Taw,19.7666,96.1186,49930000,50250000,50601000,50991000,51414000,51852000,52281000,52681000,53045000,53383000,53708000,54045000
122,MNE,Montenegro,Podgorica,42.466,19.2663,621000,623000,624000,625000,626000,626000,627000,627000,627000,628000,628000,628000
123,MNG,Mongolia,Ulaanbaatar,47.9167,106.9166,2632000,2674000,2720000,2770000,2825000,2882000,2940000,2998000,3056000,3114000,3170000,3225000
124,MNP,Northern Mariana Islands,Capitol Hill,15.2137,145.7546,55000,54000,54000,54000,54000,55000,55000,56000,56000,57000,57000,57000
125,MOZ,Mozambique,Maputo,-25.9553,32.5892,22277000,22895000,23532000,24188000,24863000,25561000,26286000,27042000,27830000,28649000,29496000,30366000
126,MRT,Mauritania,Nouakchott,18.0864,-15.9753,3296000,3393000,3494000,3599000,3707000,3817000,3931000,4046000,4164000,4283000,4403000,4526000
127,MUS,Mauritius,Port Louis,-20.1666,57.5,1239000,1244000,1248000,1251000,1253000,1255000,1257000,1259000,1262000,1264000,1267000,1270000
128,MWI,Malawi,Lilongwe,-13.9833,33.7833,13728000,14128000,14540000,14962000,15396000,15839000,16290000,16745000,17205000,17670000,18143000,18629000
129,MYS,Malaysia,Kuala Lumpur,3.1667,101.7,27236000,27735000,28208000,28651000,29068000,29469000,29867000,30271000,30685000,31105000,31528000,31950000
130,NAM,Namibia,Windhoek,-22.57,17.0835,2043000,2081000,2119000,2157000,2195000,2234000,2273000,2315000,2358000,2403000,2448000,2495000
131,NER,Niger,Niamey,13.5167,2.1167,15251000,15843000,16464000,17115000,17795000,18504000,19240000,20002000,20789000,21602000,22443000,23311000
132,NGA,Nigeria,Abuja,9.0833,7.5333,150270000,154324992,158503008,162804992,167228992,171766000,176404992,181136992,185960000,190872992,195875008,200964000
133,NIC,Nicaragua,Managua,12.152999999999999,-86.2685,5667000,5746000,5824000,5903000,5983000,6062000,6143000,6223000,6304000,6385000,6466000,6546000
134,NLD,Netherlands,Amsterdam,52.35,4.9166,16568000,16626000,16683000,16738000,16792000,16844000,16893000,16938000,16981000,17021000,17060000,17097000
135,NOR,Norway,Oslo,59.9167,10.75,4771000,4827000,4886000,4948000,5014000,5079000,5142000,5200000,5251000,5296000,5338000,5379000
136,NPL,Nepal,Kathmandu,27.7167,85.3166,26667000,26884000,27013000,27041000,26989000,26917000,26906000,27015000,27263000,27633000,28096000,28609000
